company_name,ratings,reviews,Industry,locations,highly_rated_aspects,critically_rated_aspects
TVS Motor,3.9,5k,Automobile,Hosur +349 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
CBRE,4.1,5k,Real Estate,Hyderabad / Secunderabad +91 other locations,"Company Culture, Work Life Balance, Job Security",
Schneider Electric,4.2,5k,Industrial Automation,Bangalore / Bengaluru +119 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Persistent Systems,3.6,4.9k,IT Services & Consulting,Pune +41 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
State Bank of India,3.8,4.9k,Banking,Mumbai +618 other locations,"Job Security, Salary & Benefits",
Atos,3.8,4.9k,IT Services & Consulting,Pune +49 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
vivo,4.1,4.9k,Consumer Electronics & Appliances,Noida +415 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Ecom Express,4.0,4.8k,Logistics,Gurgaon / Gurugram +775 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
KEC International,4.0,4.8k,Engineering & Construction,Mumbai +314 other locations,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Eviden,3.6,4.8k,IT Services & Consulting,Pune +39 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amdocs,3.6,4.7k,Software Product,Pune +23 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
JBM Group,3.9,4.7k,Auto Components,Gurgaon / Gurugram +117 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Nagarro,3.9,4.7k,IT Services & Consulting,Gurgaon / Gurugram +49 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Varun Beverages,4.0,4.7k,Beverage,New Delhi +379 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
ITC Infotech,3.7,4.7k,IT Services & Consulting,Bangalore / Bengaluru +67 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Home Credit Finance,4.0,4.6k,NBFC,Gurgaon / Gurugram +136 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
Bosch,4.1,4.6k,Auto Components,Bangalore / Bengaluru +130 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Randstad,3.7,4.6k,Recruitment,Hyderabad / Secunderabad +352 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
EY Global Delivery Services ( EY GDS),3.5,4.5k,IT Services & Consulting,Bangalore / Bengaluru +56 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
